audio_url,prompt_url
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_0.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_0.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_1.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_2.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_2.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_3.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_3.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_4.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_4.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_5.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_5.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_6.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_6.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_7.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_7.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_8.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_8.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_9.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_9.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_10.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_11.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_12.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_13.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_1_14.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_0.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_0.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_1.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_2.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_2.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_3.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_3.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_4.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_4.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_5.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_5.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_6.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_6.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_7.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_7.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_8.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_8.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_9.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_9.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_10.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_11.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_12.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_13.wav?raw=true?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_14.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_2_15.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_3_0.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_0.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_3_1.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_1.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_3_2.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_2.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_3_3.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_3.wav?raw=true
https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/CL/1_3_4.wav?raw=true,https://github.com/ParkJHyun/Claudy_Rabbit/blob/main/wavs/prompt/1_4.wav?raw=true
