audio_url,ref_text
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_5_pnorm.wav?raw=true,Fitzgerald was still trying to find out how the germ had been transmitted.
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_6_pnorm.wav?raw=true,Over on the north side. The lieutenant took hold of himself and spoke more deliberately.
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_7_pnorm.wav?raw=true,I Turn Out A Worthless Fellow My Good Fortune I Become A Rich Nobleman
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_8_pnorm.wav?raw=true,"We'd all be shewed up in the papers as that black, that they'd hoot us along the streets."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_9_pnorm.wav?raw=true,"He had been a clerk in a banking house, and was transported for embezzlement, though, by some, grave doubts as to his guilt were entertained."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_10_pnorm.wav?raw=true,"Cheer up, man! said Dawes, touched with momentary pity."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_11_pnorm.wav?raw=true,In all our history you are the first people from outside our borders who have ever stepped a foot in our land.
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_12_pnorm.wav?raw=true,No banners floated from it no flowers grew near it.
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_13_pnorm.wav?raw=true,The native American has been generally despised by his white conquerors for his poverty and simplicity.
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_14_pnorm.wav?raw=true,"The cold November winds coming off the mountains of the northwest were blowing right in our faces, and nearly cutting us in two."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_15_pnorm.wav?raw=true,"His violin was broken, but his being was made whole! his treasure taken type of his self, and a woman given him instead!"
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_16_pnorm.wav?raw=true,"The guard chanced to be Lumpy Bates, and he administered, what to him, was a gentle kick, to hurry the boy along."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_17_pnorm.wav?raw=true,"Add to this, that his confidence in Catherine had been rudely shaken."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_18_pnorm.wav?raw=true,You seem to have forgotten that the woman at Buck's Hotel is described as a Widow.
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_19_pnorm.wav?raw=true,"Take a last farewell, sir, of her sad remains take the hand you expected to possess once more within your own, and then separate yourself from her forever."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_5_pnorm.wav?raw=true,Fitzgerald was still trying to find out how the germ had been transmitted.
